%time,field.layout.data_offset,field.data0,field.data1,field.data2,field.data3,field.data4,field.data5,field.data6,field.data7,field.data8,field.data9,field.data10,field.data11,field.data12,field.data13,field.data14,field.data15
1654092487205925625,0,0.22848913171789148,-0.0008940644316620949,0.21304073124141484,0.0031783219222183967,0.1983772697029533,0.009719546810611254,0.2186515388907967,0.01837909405048077,0.2293563675094437,0.02958343841217377,0.20340777386675826,0.0128606439946772,0.19421976948832417,0.02465206607357487,0.19939098986950549,0.026336166884872933
1654092487237165834,0,0.22363878187242447,-0.00029189560439560336,0.20807106101905906,0.003539234203296715,0.19262400197458793,0.009619811341002746,0.21384297465230082,0.019046322330013736,0.2248187725360577,0.03044007689088256,0.1982130113538805,0.013072657323145602,0.18855865813873626,0.025053992638221168,0.19398253723815245,0.026823509132469087
1654092487288147490,0,0.2163176484160371,0.0013845590444711564,0.20050142728365386,0.004836197737809078,0.18370683271806318,0.010521320720295324,0.20650493915264423,0.02069031432434753,0.21738770872682006,0.032435524070655905,0.19026241092891485,0.01431817694024725,0.18004083319024725,0.026546604030734902,0.18581174074948492,0.02849520169771634
1654092487340910028,0,0.2063124436598558,0.0032186990255837766,0.19021485716432004,0.006527341067135983,0.17226482014079672,0.011546107700892844,0.19640040135645603,0.02264263446514423,0.20736573607057004,0.03461028717376374,0.17980199122166896,0.016008112980769228,0.16881532773866756,0.02856941642342034,0.17522455571771978,0.030443061577094782
1654092487415075023,0,0.19389903309581044,0.005133660285027458,0.17758292732657968,0.008179180438701916,0.158315671145261,0.012415489783653838,0.18394795512105083,0.024621112530048075,0.19506983495020605,0.036647318745707425,0.1668011005108173,0.017512059473729392,0.1551405686598558,0.030499032827524045,0.16226893833705358,0.0322781740964114
1654092487469275374,0,0.179650141118647,0.006706824669471145,0.16318574004120878,0.009600695934924436,0.14252916273179947,0.013177959735576922,0.16950743958190245,0.026163558121565934,0.18067660488925136,0.03833242563100961,0.15211993206988325,0.01860016204498626,0.13943018651270603,0.03226630242316278,0.1470982142857143,0.03396257672991071
1654092487514765272,0,0.1634157956301511,0.008076829176682676,0.14690719436813188,0.010559886890453285,0.12499248798076926,0.013745922046703288,0.15347645518543956,0.027661065740899726,0.16470008263221153,0.03982141515710852,0.13580496651785715,0.019836559924450547,0.12231485555460167,0.03366363860748628,0.13070457374656594,0.03531698709005837
1654092487542851398,0,0.14594565590659342,0.008964655949519229,0.12914998819539836,0.011296333061469765,0.1060677664620536,0.013941771119505494,0.13657327169900413,0.028494095016311814,0.1471746088384272,0.040463156228537085,0.11798954219608518,0.020460459950206046,0.1035464779361264,0.034302394992702614,0.11281557187929259,0.03625478220509959
1654092487588548268,0,0.12695218599759617,0.00961833576579671,0.110418701171875,0.011476152021806324,0.08604736328124998,0.013698368282108506,0.11780060149811127,0.028658554580185437,0.12857619065504808,0.0406494140625,0.09898487132984204,0.02061029790521978,0.08416841947115386,0.03554214645218064,0.09394410521119506,0.03671039958576579
1654092487672677402,0,0.10731154221754809,0.00941624903416896,0.09058415339543269,0.011086734310611274,0.06548562521462911,0.012923959585336528,0.09811112959306319,0.02841810289320055,0.10860991425566621,0.0403722406743647,0.07936354417067307,0.019952325506524725,0.06390461345295331,0.035601538354223916,0.07423806662087912,0.03665137657752403
