%time,field0,field1
1653385509203323033,838.0,99.0
1653385509300430987,838.0,99.0
1653385509426504881,857.0,99.0
1653385509490761489,857.0,99.0
1653385509586845913,857.0,99.0
1653385509714061797,866.0,99.0
1653385509778837542,866.0,99.0
1653385509874538045,866.0,99.0
1653385510003385655,888.0,98.0
1653385510115065763,888.0,98.0
1653385510195177879,888.0,98.0
1653385510292950917,917.0,99.0
1653385510357112454,917.0,99.0
1653385510449804141,917.0,99.0
1653385510514290823,917.0,99.0
1653385510611581039,971.0,100.0
1653385510677333425,971.0,100.0
1653385510769876921,971.0,100.0
1653385510837082515,971.0,100.0
1653385510934692423,1014.0,100.0
1653385511013018010,1014.0,100.0
1653385511091845540,1014.0,100.0
1653385511172951104,1014.0,100.0
1653385511264405210,1046.0,100.0
1653385511329473732,1046.0,100.0
1653385511409494172,1046.0,100.0
1653385511473957109,1046.0,100.0
1653385511589125935,1073.0,100.0
1653385511653111244,1073.0,100.0
1653385511750501912,1073.0,100.0
1653385511830081417,1095.0,100.0
1653385511905551621,1095.0,100.0
1653385511989337715,1095.0,100.0
1653385512069461055,1129.0,100.0
1653385512146329399,1129.0,100.0
1653385512228143110,1129.0,100.0
1653385512307134784,1129.0,100.0
1653385512384954241,1151.0,100.0
1653385512449267367,1151.0,100.0
1653385512550067312,1151.0,100.0
1653385512629488568,1151.0,100.0
1653385512724379178,1170.0,100.0
1653385512790011729,1170.0,100.0
1653385512882540450,1170.0,100.0
1653385512948266961,1170.0,100.0
1653385513043284239,1156.0,100.0
1653385513122727063,1156.0,100.0
1653385513206277190,1156.0,100.0
1653385513283786882,1156.0,100.0
1653385513363351443,1223.0,100.0
1653385513445249285,1223.0,100.0
1653385513524639896,1223.0,100.0
1653385513603782006,1223.0,100.0
1653385513700113290,1240.0,100.0
1653385513765683632,1240.0,100.0
1653385513861660645,1240.0,100.0
1653385513922957271,1240.0,100.0
1653385514023223452,1261.0,100.0
1653385514100769071,1261.0,100.0
1653385514183522671,1261.0,100.0
1653385514261420316,1261.0,100.0
1653385514339955353,1273.0,100.0
1653385514420264600,1273.0,100.0
1653385514500119026,1273.0,100.0
1653385514584410772,1273.0,100.0
1653385514679729800,1288.0,100.0
1653385514741911783,1288.0,100.0
1653385514836796686,1288.0,100.0
1653385514904404425,1288.0,100.0
1653385514996244478,1295.0,100.0
1653385515074903394,1295.0,100.0
1653385515154657693,1295.0,100.0
1653385515237984197,1295.0,100.0
1653385515319399959,1299.0,100.0
1653385515394662155,1299.0,100.0
1653385515479329098,1299.0,100.0
1653385515558377513,1299.0,100.0
1653385515638900478,1314.0,100.0
1653385515717377264,1314.0,100.0
1653385515799544601,1314.0,100.0
1653385515874764264,1314.0,100.0
1653385515971445584,1327.0,100.0
1653385516037267532,1327.0,100.0
1653385516132397740,1327.0,100.0
1653385516196004901,1327.0,100.0
1653385516294227942,1319.0,100.0
1653385516374113045,1319.0,100.0
1653385516452207219,1319.0,100.0
1653385516532368152,1319.0,100.0
1653385516615851445,1316.0,100.0
1653385516693524136,1316.0,100.0
1653385516775768640,1316.0,100.0
1653385516852136200,1316.0,100.0
1653385516936431193,1308.0,100.0
1653385517011080133,1308.0,100.0
1653385517092679031,1308.0,100.0
1653385517174855976,1308.0,100.0
1653385517270107971,1296.0,100.0
1653385517332397703,1296.0,100.0
1653385517429721252,1296.0,100.0
1653385517491331162,1296.0,100.0
1653385517588349668,1284.0,100.0
1653385517671616396,1284.0,100.0
1653385517750469480,1284.0,100.0
1653385517829627253,1284.0,100.0
1653385517928305052,1271.0,100.0
1653385518039799701,1271.0,100.0
1653385518120685124,1271.0,100.0
1653385518215914358,1258.0,100.0
1653385518323945965,1258.0,100.0
1653385518407102482,1258.0,100.0
1653385518503496360,1243.0,100.0
1653385518616924590,1243.0,100.0
1653385518693890082,1243.0,100.0
1653385518774980926,1228.0,100.0
1653385518854586788,1228.0,100.0
1653385518934124107,1228.0,100.0
1653385519015237781,1228.0,100.0
1653385519109796017,1212.0,100.0
1653385519176979942,1212.0,100.0
1653385519272679116,1212.0,100.0
1653385519336439248,1212.0,100.0
1653385519430007354,1196.0,100.0
1653385519510392554,1196.0,100.0
1653385519593330869,1196.0,100.0
1653385519658482323,1196.0,100.0
1653385519756936703,1181.0,100.0
1653385519829380948,1181.0,100.0
1653385519913536589,1181.0,100.0
1653385519988866593,1181.0,100.0
1653385520068825369,1165.0,100.0
1653385520150724767,1165.0,100.0
1653385520229727957,1165.0,100.0
1653385520310032560,1165.0,100.0
1653385520393261735,1147.0,100.0
1653385520472620696,1147.0,100.0
1653385520551983760,1147.0,100.0
1653385520633775992,1147.0,100.0
1653385520731942648,1130.0,100.0
1653385520792896804,1130.0,100.0
1653385520888907296,1130.0,100.0
1653385520949858656,1130.0,100.0
1653385521047237517,1113.0,100.0
1653385521127603739,1113.0,100.0
1653385521211456133,1113.0,100.0
1653385521285178626,1113.0,100.0
1653385521365278628,1095.0,100.0
1653385521450025916,1095.0,100.0
1653385521528212820,1095.0,100.0
1653385521608576905,1095.0,100.0
1653385521687074029,1078.0,100.0
1653385521768955526,1078.0,100.0
1653385521848079004,1078.0,100.0
1653385521928747256,1078.0,100.0
1653385522022926135,1060.0,100.0
1653385522085934858,1060.0,100.0
1653385522184819816,1060.0,100.0
1653385522251251871,1060.0,100.0
1653385522346786633,1042.0,100.0
1653385522412667681,1042.0,100.0
1653385522505362638,1042.0,100.0
1653385522567578592,1042.0,100.0
1653385522667000556,1025.0,100.0
1653385522744255208,1025.0,100.0
1653385522827902187,1025.0,100.0
1653385522904485973,1025.0,100.0
1653385522985676132,1008.0,100.0
1653385523068091421,1008.0,100.0
1653385523145542777,1008.0,100.0
1653385523227461320,1008.0,100.0
1653385523320339638,990.0,100.0
1653385523388030487,990.0,100.0
1653385523479553975,990.0,100.0
1653385523545484873,990.0,100.0
1653385523642781389,973.0,100.0
1653385523704163584,973.0,100.0
1653385523798809479,973.0,100.0
1653385523862862557,973.0,100.0
1653385523963579979,956.0,100.0
1653385524042019148,956.0,100.0
1653385524122229608,956.0,100.0
1653385524201351248,956.0,100.0
1653385524283794463,939.0,100.0
1653385524361087542,939.0,100.0
1653385524442361796,939.0,100.0
1653385524522564455,939.0,100.0
1653385524617676365,923.0,100.0
1653385524683754763,923.0,100.0
1653385524775954831,923.0,100.0
1653385524840920565,923.0,100.0
1653385524939121000,907.0,100.0
1653385525000241972,907.0,100.0
1653385525095968462,907.0,100.0
1653385525159771068,907.0,100.0
1653385525258102768,890.0,100.0
1653385525339763243,890.0,100.0
1653385525416499208,890.0,100.0
1653385525501667727,890.0,100.0
1653385525578328237,875.0,100.0
1653385525657592208,875.0,100.0
1653385525737320197,875.0,100.0
1653385525816283525,875.0,100.0
1653385525912636652,860.0,100.0
1653385526026742018,860.0,100.0
1653385526108577805,860.0,100.0
1653385526204688761,844.0,100.0
1653385526266513294,844.0,100.0
1653385526362974626,844.0,100.0
1653385526426276109,844.0,100.0
1653385526520035834,829.0,100.0
1653385526586629966,829.0,100.0
1653385526683064342,829.0,100.0
1653385526749635159,829.0,100.0
1653385526841443600,816.0,100.0
1653385526925084948,816.0,100.0
1653385527005291883,816.0,100.0
1653385527085266083,816.0,100.0
1653385527161812664,802.0,100.0
1653385527245672794,802.0,100.0
1653385527324117305,802.0,100.0
1653385527402073907,802.0,100.0
1653385527499927024,789.0,100.0
1653385527612721054,789.0,100.0
1653385527690817649,789.0,100.0
1653385527786432999,776.0,100.0
1653385527850050862,776.0,100.0
1653385527948474535,776.0,100.0
1653385528013948193,776.0,100.0
1653385528104235895,764.0,100.0
1653385528184228654,764.0,100.0
1653385528266745664,764.0,100.0
1653385528345549270,764.0,100.0
1653385528430421457,752.0,100.0
1653385528505581572,752.0,100.0
1653385528588723677,752.0,100.0
1653385528674708442,752.0,100.0
1653385528749155422,742.0,100.0
1653385528826838869,742.0,100.0
1653385528908279620,742.0,100.0
1653385528986497971,742.0,100.0
1653385529083682250,731.0,100.0
1653385529197449552,731.0,100.0
1653385529273816600,731.0,100.0
1653385529375057479,723.0,100.0
1653385529438381526,723.0,100.0
1653385529529899121,723.0,100.0
1653385529595022094,723.0,100.0
1653385529691910716,715.0,100.0
1653385529772711363,715.0,100.0
1653385529854127262,715.0,100.0
1653385529931841086,715.0,100.0
1653385530012261149,708.0,100.0
1653385530092065263,708.0,100.0
1653385530172854173,708.0,100.0
1653385530254713254,708.0,100.0
1653385530333201334,701.0,100.0
1653385530412635750,701.0,100.0
1653385530492424300,701.0,100.0
1653385530574685392,701.0,100.0
1653385530665871911,696.0,100.0
1653385530779561600,696.0,100.0
1653385530860807739,696.0,100.0
