%time,field.channels0,field.channels1,field.channels2,field.channels3,field.channels4,field.channels5,field.channels6,field.channels7
1653385401262771775,1500,1500,1423,1536,1514,1500,1500,1500
1653385401268401465,1500,1500,1423,1536,1514,1500,1500,1500
1653385401295540136,1500,1500,1423,1536,1514,1500,1500,1500
1653385401301135067,1500,1500,1423,1536,1514,1500,1500,1500
1653385401314067889,1500,1500,1423,1536,1514,1500,1500,1500
1653385401328551697,1500,1500,1423,1536,1514,1500,1500,1500
1653385401332101182,1500,1500,1424,1536,1514,1500,1500,1500
1653385401361304351,1500,1500,1424,1536,1514,1500,1500,1500
1653385401367541641,1500,1500,1424,1536,1514,1500,1500,1500
1653385401394882360,1500,1500,1424,1536,1514,1500,1500,1500
1653385401404868293,1500,1500,1423,1536,1514,1500,1500,1500
1653385401408681813,1500,1500,1423,1536,1514,1500,1500,1500
1653385401428749594,1500,1500,1423,1536,1514,1500,1500,1500
1653385401431206119,1500,1500,1423,1536,1514,1500,1500,1500
1653385401459939464,1500,1500,1423,1536,1514,1500,1500,1500
1653385401466908366,1500,1500,1423,1536,1514,1500,1500,1500
1653385401479016346,1500,1500,1423,1536,1514,1500,1500,1500
1653385401493577139,1500,1500,1423,1536,1514,1500,1500,1500
1653385401499695303,1500,1500,1423,1536,1514,1500,1500,1500
1653385401528278580,1500,1500,1423,1536,1514,1500,1500,1500
1653385401531848841,1500,1500,1423,1536,1514,1500,1500,1500
1653385401558958512,1500,1500,1423,1536,1514,1500,1500,1500
1653385401560989347,1500,1500,1423,1536,1514,1500,1500,1500
1653385401569796177,1500,1500,1423,1536,1514,1500,1500,1500
1653385401593310619,1500,1500,1423,1536,1514,1500,1500,1500
1653385401599610788,1500,1500,1423,1536,1514,1500,1500,1500
1653385401624314768,1500,1500,1423,1536,1514,1500,1500,1500
1653385401631220585,1500,1500,1423,1536,1514,1500,1500,1500
1653385401654041687,1500,1500,1423,1536,1514,1500,1500,1500
1653385401657913102,1500,1500,1423,1536,1514,1500,1500,1500
1653385401661223628,1500,1500,1423,1536,1514,1500,1500,1500
1653385401690391433,1500,1500,1423,1536,1514,1500,1500,1500
1653385401698003246,1500,1500,1422,1536,1514,1500,1500,1500
1653385401723775155,1500,1500,1422,1536,1514,1500,1500,1500
1653385401731561872,1500,1500,1422,1536,1514,1500,1500,1500
1653385401732257141,1500,1500,1422,1536,1514,1500,1500,1500
1653385401758003795,1500,1500,1422,1536,1514,1500,1500,1500
1653385401761030155,1500,1500,1422,1536,1514,1500,1500,1500
1653385401789866490,1500,1500,1422,1536,1514,1500,1500,1500
1653385401795474196,1500,1500,1422,1536,1514,1500,1500,1500
1653385401813618955,1500,1500,1422,1536,1514,1500,1500,1500
1653385401823408018,1500,1500,1422,1536,1514,1500,1500,1500
