%time,field.channels0,field.channels1,field.channels2,field.channels3,field.channels4,field.channels5,field.channels6,field.channels7
1653386141052111968,1500,1500,1425,1462,1513,1500,1500,1500
1653386141055065811,1500,1500,1425,1462,1513,1500,1500,1500
1653386141082753444,1500,1500,1425,1462,1513,1500,1500,1500
1653386141091105620,1500,1500,1425,1462,1513,1500,1500,1500
1653386141091651385,1500,1500,1425,1462,1513,1500,1500,1500
1653386141117612370,1500,1500,1425,1462,1513,1500,1500,1500
1653386141122052837,1500,1500,1425,1462,1513,1500,1500,1500
1653386141148960109,1500,1500,1425,1461,1513,1500,1500,1500
1653386141155853412,1500,1500,1425,1461,1513,1500,1500,1500
1653386141171324200,1500,1500,1425,1461,1513,1500,1500,1500
1653386141182922234,1500,1500,1425,1461,1513,1500,1500,1500
1653386141189189214,1500,1500,1425,1461,1513,1500,1500,1500
1653386141219410465,1500,1500,1425,1461,1513,1500,1500,1500
1653386141225585773,1500,1500,1426,1461,1513,1500,1500,1500
1653386141248927448,1500,1500,1426,1461,1513,1500,1500,1500
1653386141258807551,1500,1500,1426,1461,1513,1500,1500,1500
1653386141259504818,1500,1500,1426,1461,1513,1500,1500,1500
1653386141281769024,1500,1500,1426,1461,1513,1500,1500,1500
1653386141290157770,1500,1500,1427,1461,1513,1500,1500,1500
1653386141317365366,1500,1500,1427,1461,1513,1500,1500,1500
1653386141322449641,1500,1500,1426,1461,1513,1500,1500,1500
1653386141332004663,1500,1500,1426,1461,1513,1500,1500,1500
1653386141346774283,1500,1500,1426,1461,1513,1500,1500,1500
1653386141351073155,1500,1500,1426,1461,1513,1500,1500,1500
1653386141382164339,1500,1500,1426,1461,1513,1500,1500,1500
1653386141388057352,1500,1500,1426,1461,1513,1500,1500,1500
1653386141411021073,1500,1500,1426,1461,1513,1500,1500,1500
1653386141413646287,1500,1500,1500,1500,1500,1500,1500,1500
1653386141414776294,1500,1500,1426,1461,1513,1500,1500,1500
1653386141423705287,1500,1500,1426,1461,1513,1500,1500,1500
1653386141446875903,1500,1500,1426,1461,1513,1500,1500,1500
1653386141451437819,1500,1500,1426,1461,1513,1500,1500,1500
1653386141478851445,1500,1500,1426,1461,1513,1500,1500,1500
1653386141485227391,1500,1500,1425,1461,1513,1500,1500,1500
1653386141493139446,1500,1500,1425,1461,1513,1500,1500,1500
1653386141511942582,1500,1500,1425,1461,1513,1500,1500,1500
1653386141519728502,1500,1500,1426,1461,1513,1500,1500,1500
1653386141532112012,1500,1500,1500,1500,1500,1500,1500,1500
1653386141545763306,1500,1500,1426,1461,1513,1500,1500,1500
